date,division,index
1960-01-01,overall,21.3092412797334
1961-01-01,overall,21.2707977630436
1962-01-01,overall,21.2938638731113
1963-01-01,overall,21.9550923595525
1964-01-01,overall,21.8666722711776
1965-01-01,overall,21.8436061611484
1966-01-01,overall,22.0550455027883
1967-01-01,overall,23.0641878148471
1968-01-01,overall,23.0276664740477
1969-01-01,overall,22.9334798581942
1970-01-01,overall,23.3563585414548
1971-01-01,overall,23.7331050045995
1972-01-01,overall,24.5000531617548
1973-01-01,overall,27.0873018323506
1974-01-01,overall,31.781255215535
1975-01-01,overall,33.2075096832608
1976-01-01,overall,34.0820996870785
1977-01-01,overall,35.7140269689273
1978-01-01,overall,37.4497517457152
1979-01-01,overall,38.8183409385794
1980-01-01,overall,41.4094339608595
1981-01-01,overall,45.4261490550629
1982-01-01,overall,48.0694512559551
1983-01-01,overall,49.8500569163408
1984-01-01,overall,51.7928495263723
1985-01-01,overall,51.9722904068005
1986-01-01,overall,52.3553276711112
1987-01-01,overall,52.5071622623698
1988-01-01,overall,53.8495180799345
1989-01-01,overall,55.3644132056691
1990-01-01,overall,56.8137433942992
1991-01-01,overall,59.2898757105672
1992-01-01,overall,62.1163594444336
1993-01-01,overall,64.3131575223467
1994-01-01,overall,66.7088037021399
1995-01-01,overall,69.0106410694247
1996-01-01,overall,71.4181183158851
1997-01-01,overall,73.3196361410336
1998-01-01,overall,77.1838317213788
1999-01-01,overall,79.302189298518
2000-01-01,overall,80.55
2001-01-01,overall,81.68333333333334
2002-01-01,overall,83.14999999999999
2003-01-01,overall,84.05833333333334
2004-01-01,overall,85.24166666666666
2005-01-01,overall,87.77499999999999
2006-01-01,overall,90.95
2007-01-01,overall,92.80833333333334
2008-01-01,overall,97.84166666666664
2009-01-01,overall,98.425
2010-01-01,overall,100.01666666666668
2011-01-01,overall,103.2
2012-01-01,overall,104.90833333333336
2013-01-01,overall,107.11666666666667
2014-01-01,overall,110.48333333333332
2015-01-01,overall,112.80833333333334
2016-01-01,overall,115.15
2017-01-01,overall,119.525
2018-01-01,overall,120.68333333333334
2019-01-01,overall,121.48333333333332
2020-01-01,overall,120.1
2021-01-01,overall,123.075
2022-01-01,overall,127.23333333333332
2023-01-01,overall,130.4
2024-01-01,overall,132.79166666666666
2025-01-01,overall,134.625
1980-01-01,01,33.793185438162496
1981-01-01,01,37.63129782773426
1982-01-01,01,40.75339521372554
1983-01-01,01,41.12040802066869
1984-01-01,01,42.63718927351399
1985-01-01,01,41.5864731879388
1986-01-01,01,41.71419995436277
1987-01-01,01,41.16543349919101
1988-01-01,01,42.69758074292004
1989-01-01,01,44.32014495007693
1990-01-01,01,46.06591857478395
1991-01-01,01,48.31469904825983
1992-01-01,01,51.45497394245477
1993-01-01,01,52.62331158499208
1994-01-01,01,55.422287689823264
1995-01-01,01,58.11450547215782
1996-01-01,01,61.4853264906021
1997-01-01,01,63.97986048269608
1998-01-01,01,69.68277004185225
1999-01-01,01,72.92074581261713
2000-01-01,01,74.325
2001-01-01,01,74.825
2002-01-01,01,75.35833333333333
2003-01-01,01,76.36666666666666
2004-01-01,01,78.05
2005-01-01,01,80.89166666666667
2006-01-01,01,83.59166666666667
2007-01-01,01,86.14999999999999
2008-01-01,01,93.76666666666668
2009-01-01,01,97.65
2010-01-01,01,99.99166666666667
2011-01-01,01,104.8
2012-01-01,01,107.61666666666667
2013-01-01,01,111.45
2014-01-01,01,115.175
2015-01-01,01,119.35833333333332
2016-01-01,01,123.90833333333336
2017-01-01,01,128.79999999999998
2018-01-01,01,130.9
2019-01-01,01,133.05833333333334
2020-01-01,01,134.75
2021-01-01,01,137.13333333333333
2022-01-01,01,145.01666666666668
2023-01-01,01,152.01666666666668
2024-01-01,01,155.025
2025-01-01,01,158.19166666666666
1980-01-01,02,18.1608942750416
1981-01-01,02,20.679728225381314
1982-01-01,02,22.055601981619077
1983-01-01,02,26.78541977179951
1984-01-01,02,27.7330001438495
1985-01-01,02,28.070730323022705
1986-01-01,02,28.5253756330788
1987-01-01,02,30.13673341568168
1988-01-01,02,30.590549154996943
1989-01-01,02,31.01310641572746
1990-01-01,02,32.0673002847707
1991-01-01,02,34.55513226813585
1992-01-01,02,37.525887629851525
1993-01-01,02,43.10278479745688
1994-01-01,02,45.22055942392624
1995-01-01,02,46.29075472382479
1996-01-01,02,47.30838037707607
1997-01-01,02,47.93025057846601
1998-01-01,02,50.00522880820204
1999-01-01,02,53.96009127124879
2000-01-01,02,55.50833333333333
2001-01-01,02,58.15833333333333
2002-01-01,02,60.55
2003-01-01,02,61.60833333333334
2004-01-01,02,66.41666666666667
2005-01-01,02,73.35833333333333
2006-01-01,02,78.45
2007-01-01,02,84.49166666666666
2008-01-01,02,90.7
2009-01-01,02,96.21666666666664
2010-01-01,02,100.0
2011-01-01,02,104.60833333333332
2012-01-01,02,105.025
2013-01-01,02,111.28333333333336
2014-01-01,02,124.21666666666664
2015-01-01,02,141.0
2016-01-01,02,165.24166666666667
2017-01-01,02,165.49166666666667
2018-01-01,02,165.30833333333334
2019-01-01,02,167.775
2020-01-01,02,168.30833333333334
2021-01-01,02,169.15833333333333
2022-01-01,02,170.11666666666667
2023-01-01,02,171.225
2024-01-01,02,172.4
2025-01-01,02,174.0
1980-01-01,03,87.42939215104495
1981-01-01,03,95.7522385546435
1982-01-01,03,99.79910955194752
1983-01-01,03,103.66216787639392
1984-01-01,03,106.31632201181388
1985-01-01,03,107.3745396983948
1986-01-01,03,107.7542102197164
1987-01-01,03,106.44885684997172
1988-01-01,03,108.67653092632672
1989-01-01,03,110.53661110682746
1990-01-01,03,112.4291651289978
1991-01-01,03,119.4265407826901
1992-01-01,03,122.95422008151164
1993-01-01,03,123.5685228156802
1994-01-01,03,122.63836006962832
1995-01-01,03,122.58777415487276
1996-01-01,03,121.72931735672182
1997-01-01,03,121.11618153505098
1998-01-01,03,121.70925470759538
1999-01-01,03,119.2055478930712
2000-01-01,03,117.14166666666668
2001-01-01,03,114.075
2002-01-01,03,111.51666666666668
2003-01-01,03,109.325
2004-01-01,03,107.25833333333333
2005-01-01,03,106.06666666666666
2006-01-01,03,104.68333333333334
2007-01-01,03,103.25
2008-01-01,03,102.65833333333336
2009-01-01,03,101.7
2010-01-01,03,100.00833333333333
2011-01-01,03,99.75833333333333
2012-01-01,03,99.19166666666666
2013-01-01,03,98.61666666666667
2014-01-01,03,98.425
2015-01-01,03,98.90833333333336
2016-01-01,03,98.525
2017-01-01,03,98.175
2018-01-01,03,96.16666666666669
2019-01-01,03,94.325
2020-01-01,03,93.53333333333336
2021-01-01,03,93.125
2022-01-01,03,93.24166666666667
2023-01-01,03,93.45833333333331
2024-01-01,03,93.21666666666664
2025-01-01,03,93.04166666666669
1980-01-01,04,48.910056247394245
1981-01-01,04,53.75647832910992
1982-01-01,04,57.14451005306294
1983-01-01,04,60.62859093556981
1984-01-01,04,65.18634613434014
1985-01-01,04,67.92518038261046
1986-01-01,04,69.018943760482
1987-01-01,04,67.99662800095385
1988-01-01,04,66.6191766627098
1989-01-01,04,66.0886602677558
1990-01-01,04,66.32795754116086
1991-01-01,04,68.33542435952879
1992-01-01,04,70.80585751414235
1993-01-01,04,73.30149367518915
1994-01-01,04,75.0587286735089
1995-01-01,04,77.58566514525873
1996-01-01,04,80.04365665714931
1997-01-01,04,82.65777174695997
1998-01-01,04,86.21674959779173
1999-01-01,04,87.59302056699727
2000-01-01,04,88.875
2001-01-01,04,90.10833333333332
2002-01-01,04,90.725
2003-01-01,04,91.59166666666664
2004-01-01,04,92.43333333333334
2005-01-01,04,93.4
2006-01-01,04,94.85
2007-01-01,04,96.06666666666666
2008-01-01,04,97.575
2009-01-01,04,98.91666666666669
2010-01-01,04,100.00833333333333
2011-01-01,04,101.775
2012-01-01,04,103.39166666666668
2013-01-01,04,105.23333333333332
2014-01-01,04,108.8
2015-01-01,04,111.45
2016-01-01,04,114.175
2017-01-01,04,116.70833333333331
2018-01-01,04,119.025
2019-01-01,04,121.25
2020-01-01,04,119.15
2021-01-01,04,121.025
2022-01-01,04,123.21666666666664
2023-01-01,04,125.25833333333333
2024-01-01,04,129.025
2025-01-01,04,131.09166666666667
1980-01-01,05,60.69730621798985
1981-01-01,05,64.60257542994498
1982-01-01,05,66.504766847262
1983-01-01,05,68.18937385964647
1984-01-01,05,68.80662078647427
1985-01-01,05,68.9735354142287
1986-01-01,05,69.43356826728413
1987-01-01,05,70.06087987845962
1988-01-01,05,72.07866878992759
1989-01-01,05,74.02634844476012
1990-01-01,05,75.37694994889318
1991-01-01,05,78.71118418932977
1992-01-01,05,80.81892711014085
1993-01-01,05,81.893367455037
1994-01-01,05,83.18991587708662
1995-01-01,05,85.48406748621414
1996-01-01,05,86.4344153425926
1997-01-01,05,86.55224908032572
1998-01-01,05,89.88628497087076
1999-01-01,05,91.08612789777072
2000-01-01,05,91.1
2001-01-01,05,91.23333333333332
2002-01-01,05,90.775
2003-01-01,05,90.34166666666664
2004-01-01,05,90.65
2005-01-01,05,91.825
2006-01-01,05,92.84166666666664
2007-01-01,05,93.85
2008-01-01,05,96.64166666666668
2009-01-01,05,99.56666666666666
2010-01-01,05,99.94166666666666
2011-01-01,05,101.75833333333333
2012-01-01,05,103.78333333333336
2013-01-01,05,105.425
2014-01-01,05,106.53333333333336
2015-01-01,05,109.38333333333333
2016-01-01,05,111.95833333333331
2017-01-01,05,114.4
2018-01-01,05,114.83333333333331
2019-01-01,05,116.44166666666666
2020-01-01,05,116.71666666666664
2021-01-01,05,118.61666666666667
2022-01-01,05,122.81666666666666
2023-01-01,05,125.60833333333332
2024-01-01,05,126.54166666666669
2025-01-01,05,126.825
1980-01-01,06,38.90610648923441
1981-01-01,06,42.40215633373904
1982-01-01,06,44.505856825659095
1983-01-01,06,50.56776613363324
1984-01-01,06,51.16468618380629
1985-01-01,06,52.35396038654534
1986-01-01,06,53.15879976040991
1987-01-01,06,53.02249987989577
1988-01-01,06,53.806991018871166
1989-01-01,06,54.698339775746085
1990-01-01,06,56.14094230592977
1991-01-01,06,59.12202498110719
1992-01-01,06,61.19984989369581
1993-01-01,06,64.31388651658543
1994-01-01,06,66.49699019466338
1995-01-01,06,68.53052246309005
1996-01-01,06,71.0461217535181
1997-01-01,06,73.62823330061532
1998-01-01,06,78.17737992421954
1999-01-01,06,80.55993023236329
2000-01-01,06,82.21666666666667
