state_code,state,territory_type,poverty_absolute,gini,income_median,beds_per_1000,facilities_per_100k,n_poverty,n_gini,n_income,n_beds,n_facilities,sdi_score,sdi_rank,double_deprivation,sdi_rank_no_terr,sdi_score_eq,sdi_rank_eq
SBH,Sabah,state,21.824,0.13465055118754,4445.76,0.717444141848956,10.395619198219567,1.0,0.8884723748326688,0.8862969995751786,0.962118131822239,0.5985735342139171,0.8833724747657518,1,True,1.0,0.8670922080888007,1
SWK,Sarawak,state,13.741935483870968,0.15155288448096038,4316.0,1.526177481301799,11.885991510006065,0.6279660966613408,1.0,0.9060393799583083,0.8331808254927916,0.5208067397472285,0.7865995039409153,2,True,2.0,0.7775986083719337,2
KTN,Kelantan,state,13.485714285714286,0.08008433604932375,3698.4285714285716,1.3678575330492735,14.80388943515787,0.6161717126548649,0.5284250202402763,1.0,0.8584219608214143,0.36855245642116774,0.6937740947981588,3,False,3.0,0.6743142300275448,3
NSN,Negeri Sembilan,state,5.375,0.13075181908384326,4824.25,1.3585561718685322,14.074012749399785,0.2428190020254097,0.8627471494959875,0.8287115067329257,0.8599048877607852,0.4066370140571983,0.630413342361479,4,True,4.0,0.6401639120144613,4
PRK,Perak,state,9.125,0.07719267526716522,4340.25,1.3891982182628062,14.556156538339167,0.4154391456453692,0.5093448107671151,0.9023498552643279,0.8550195903088802,0.3814790205536188,0.6167910040102221,5,False,7.0,0.6127264845078623,6
KDH,Kedah,state,8.346666666666668,0.07507359636121635,4349.266666666666,1.278720355045999,14.377513753409458,0.37961087583624875,0.49536237214045153,0.9009780113746761,0.8726332058200765,0.39080050125258103,0.6087347522917201,6,False,6.0,0.6078769932848068,8
JHR,Johor,state,5.630769230769231,0.1089179422478701,6215.346153846154,0.8368294317702256,10.004220142491869,0.2545925810517967,0.718679440651316,0.6170626980188426,0.9430843948079803,0.6189965182431536,0.5959618448555931,7,True,5.0,0.6304831265546178,5
PNG,Pulau Pinang,state,2.1,0.09399530922690702,6425.7692307692305,0.8673674536159457,6.376012407375496,0.09206407659731172,0.6202145841619773,0.5850478057099344,0.938215682112049,0.8083143705595516,0.5553003953099471,8,False,8.0,0.6087713038281648,7
PHG,Pahang,state,6.835714285714286,0.07472281920797008,4612.285714285715,0.8567180821408661,21.86706312333519,0.3100586579688035,0.4930478193396413,0.8609608867900296,0.9399135239161565,0.0,0.53235147864506,9,False,10.0,0.5207961776029262,11
SGR,Selangor,state,1.981818181818182,0.11647288471374329,9146.045454545454,0.4798377374012453,3.5175808121640215,0.08662392661656149,0.768529646351771,0.17117043242869445,1.0,0.9574657340168081,0.5117743791341893,10,False,9.0,0.596757947882767,9
PLS,Perlis,state,3.966666666666667,0.04673857216230104,4729.666666666667,1.766735679779158,14.147688060731538,0.177990548088136,0.3083977736377087,0.8431019209173508,0.7948283493254061,0.4027926774788182,0.49659582599954705,11,False,13.0,0.505422253889484,13
TRG,Terengganu,state,6.5375,0.059944629987695563,5788.25,1.3247935277262768,16.517781897859432,0.2963312465475971,0.3955360545791949,0.6820433910629428,0.8652877057774226,0.2791225053741353,0.4953624019912076,12,False,11.0,0.5036641806682586,14
MLK,Melaka,state,4.5,0.05144128703723294,6146.0,1.315685108070593,11.104501288915328,0.20254096851408582,0.3394279641288881,0.6276133927424694,0.866739871822805,0.561584462817272,0.48967283333592804,13,False,12.0,0.5195813320051041,12
KUL,W.P. Kuala Lumpur,capital,1.4090909090909092,0.11028921181040108,10271.09090909091,1.2318988374464612,2.702427085457883,0.06026012286369495,0.7277275664407215,0.0,0.8800980153722902,1.0,0.4426252463099116,14,False,,0.5336171409353414,10
LBN,W.P. Labuan,island_ft,2.5,0.0,6904.0,1.2590299277605779,14.447884416924666,0.11047689191677407,0.0,0.512287218802794,0.875772473772571,0.38712859935075905,0.3451261886483915,15,False,,0.3771330367685797,15
PJY,W.P. Putrajaya,admin,0.1,0.0,10056.0,6.752136752136752,5.128205128205129,0.0,0.0,0.03272508125944751,0.0,0.873424257160277,0.13919490888890343,16,False,,0.18122986768394492,16
